generated3.atsp;345;0;0-1-2-0
generated4.atsp;613;0;0-1-2-3-0
generated5.atsp;800;0;0-2-1-3-4-0
generated6.atsp;619;0;0-3-2-1-5-4-0
generated7.atsp;590;0;0-3-5-4-2-1-6-0
generated8.atsp;484;0;0-1-4-6-2-3-5-7-0
generated9.atsp;623;0;0-6-1-7-2-3-4-8-5-0
generated10.atsp;912;0;0-8-4-2-9-7-5-1-6-3-0
generated11.atsp;741;2;0-2-9-4-7-3-6-1-5-8-10-0
generated12.atsp;612;5;0-8-1-3-4-6-10-11-5-9-7-2-0
generated13.atsp;573;13;0-12-6-7-4-1-8-5-10-11-3-2-9-0
generated14.atsp;885;34;0-11-13-2-6-12-5-4-1-10-8-9-7-3-0
generated15.atsp;643;80;0-4-6-1-12-14-11-5-7-10-9-8-3-2-13-0
generated16.atsp;819;200;0-13-11-4-8-3-12-7-6-5-15-2-1-9-14-10-0
generated17.atsp;843;444;0-16-5-15-14-10-13-1-11-7-12-8-2-3-4-6-9-0
generated18.atsp;702;1107;0-14-11-6-17-10-1-16-4-8-7-5-15-3-9-2-13-12-0
generated19.atsp;1100;2643;0-9-17-14-6-4-10-13-1-3-11-2-8-7-15-16-12-18-5-0
generated20.atsp;974;6151;0-7-3-2-10-9-18-14-4-17-1-19-6-8-11-15-12-13-5-16-0
generated21.atsp;952;14243;0-3-20-16-9-7-10-11-12-6-17-15-14-8-19-13-2-5-4-18-1-0
generated22.atsp;739;34391;0-21-12-15-19-3-18-17-7-9-14-10-11-16-1-20-5-2-13-4-8-6-0
generated23.atsp;759;72016;0-9-17-21-1-20-6-18-5-19-11-13-8-4-16-14-3-15-22-10-7-12-2-0
generated24.atsp;738;158044;0-6-1-13-17-5-4-19-10-15-22-18-16-9-7-3-11-12-14-20-23-21-2-8-0
generated25.atsp;841;355194;0-4-18-16-8-14-12-17-3-11-15-6-5-13-19-7-9-22-10-1-24-21-2-20-23-0
generated26.atsp;856;1526156;0-21-2-17-5-11-12-4-6-25-9-14-8-18-1-7-24-13-19-20-15-23-10-22-3-16-0
