generated3.atsp;345;0;0-1-2-0;345;0;0-1-2-0;345;0;
generated4.atsp;613;0;0-1-2-3-0;613;0;0-1-2-3-0;613;0;
generated5.atsp;800;0;0-2-1-3-4-0;800;0;0-2-1-3-4-0;800;0;
generated6.atsp;619;0;4-0-3-2-1-5-4;619;0;4-0-3-2-1-5-4;619;0;
generated7.atsp;590;0;0-3-5-4-2-1-6-0;590;0;0-3-5-4-2-1-6-0;590;0;
generated8.atsp;737;0;3-5-1-7-0-4-6-2-3;484;1;1-4-6-2-3-5-7-0-1;540;0;
generated9.atsp;791;1;2-6-1-7-5-0-3-4-8-2;623;2;8-5-0-6-1-7-2-3-4-8;703;1;
generated10.atsp;1045;1;8-3-5-9-1-6-7-4-2-0-8;912;2;6-3-0-8-4-2-9-7-5-1-6;956;2;
generated11.atsp;844;1;2-4-7-5-9-3-6-8-10-1-0-2;741;2;6-1-5-8-10-0-2-9-4-7-3-6;834;1;
generated12.atsp;1067;2;0-8-1-5-3-4-6-10-11-7-2-9-0;612;6;0-8-1-3-4-6-10-11-5-9-7-2-0;780;4;
generated13.atsp;976;2;0-6-10-11-1-8-5-3-2-7-4-12-9-0;573;7;9-0-12-6-7-4-1-8-5-10-11-3-2-9;816;4;
generated14.atsp;1192;2;11-13-2-10-8-9-7-3-0-6-12-5-4-1-11;885;5;10-8-9-7-3-0-11-13-2-6-12-5-4-1-10;1144;4;
generated15.atsp;1037;3;0-4-3-14-11-8-12-6-1-7-10-9-5-2-13-0;708;10;8-3-2-5-7-6-1-14-11-9-10-12-13-0-4-8;914;6;
generated16.atsp;1296;4;0-12-3-9-1-4-2-7-6-5-15-8-13-11-14-10-0;843;10;9-1-2-7-10-6-5-15-3-12-8-13-11-4-0-14-9;1071;8;
generated17.atsp;1179;5;0-16-12-8-10-13-1-11-5-15-14-2-7-3-4-6-9-0;1017;9;0-16-5-15-3-12-8-2-14-1-11-7-10-13-4-6-9-0;1173;5;
generated18.atsp;1174;5;0-14-11-12-8-7-15-3-9-2-13-1-16-17-10-6-5-4-0;975;9;4-7-5-15-3-14-11-12-0-8-2-13-1-9-10-6-17-16-4;1151;6;
generated19.atsp;1334;6;0-9-13-1-8-15-16-12-14-6-4-10-7-11-3-17-2-18-5-0;1130;10;4-8-15-5-10-13-1-3-17-2-11-7-9-0-18-16-12-14-6-4;1330;6;
generated20.atsp;1314;6;0-7-2-10-1-16-6-15-12-13-14-4-17-18-9-8-11-5-3-19-0;1124;13;10-5-16-0-7-3-12-13-14-4-17-1-19-8-11-15-18-9-6-2-10;1309;6;
generated21.atsp;1550;7;0-3-16-9-12-6-17-2-5-4-13-14-18-10-20-8-19-1-15-7-11-0;1181;14;17-11-0-3-5-18-20-16-9-7-10-19-4-13-2-15-14-8-1-12-6-17;1503;10;
generated22.atsp;1226;8;0-21-9-14-10-11-8-6-5-2-15-19-3-18-17-7-16-1-20-13-12-4-0;942;16;15-2-7-5-13-4-10-11-8-6-0-21-9-14-19-20-16-1-18-17-3-12-15;1194;11;
generated23.atsp;1047;9;0-9-12-2-15-22-10-6-7-16-14-3-13-8-4-18-5-19-11-1-21-20-17-0;1047;9;0-9-12-2-15-22-10-6-7-16-14-3-13-8-4-18-5-19-11-1-21-20-17-0;1047;9;
generated24.atsp;1143;10;0-6-1-13-5-4-16-19-7-3-11-14-20-23-21-2-8-10-15-22-17-12-18-9-0;1090;19;18-16-9-0-6-2-7-8-4-19-10-5-15-3-11-1-13-14-20-23-21-17-12-22-18;1142;10;
generated25.atsp;1738;11;0-4-18-11-15-6-8-14-7-21-2-20-5-9-1-24-10-12-17-3-23-22-16-13-19-0;1160;21;0-4-21-8-13-11-15-22-10-1-24-3-5-19-7-9-18-16-20-23-14-12-17-2-6-0;1571;19;
generated26.atsp;1480;13;15-2-17-5-11-3-16-12-4-0-6-22-25-10-14-23-7-19-21-20-18-1-8-13-24-9-15;1242;20;11-14-8-12-4-6-22-25-24-9-15-0-23-3-2-21-16-10-13-19-20-18-1-17-7-5-11;1465;13;
