generated3.tsp;549;0;0-2-1-0
generated4.tsp;1178;1;1-0-3-2-1
generated5.tsp;1163;1;0-1-2-4-3-0
generated6.tsp;1195;2;2-0-4-5-1-3-2
generated7.tsp;809;3;0-1-2-4-5-3-6-0
generated8.tsp;1411;4;0-4-7-5-1-6-3-2-0
generated9.tsp;979;9;3-7-4-0-5-1-6-2-8-3
generated10.tsp;666;7;0-4-3-9-2-7-8-1-6-5-0
generated11.tsp;1091;10;5-1-7-4-10-0-3-8-2-6-9-5
generated12.tsp;722;10;8-6-5-10-7-0-11-1-9-4-3-2-8
generated13.tsp;931;22;12-11-10-7-5-1-8-4-0-6-9-3-2-12
generated14.tsp;633;19;3-7-2-5-13-6-12-9-4-10-1-8-11-0-3
generated15.tsp;813;16;3-10-6-11-1-4-8-7-12-2-13-9-0-14-5-3
generated16.tsp;670;38;9-6-4-5-8-3-14-13-10-1-7-11-2-15-0-12-9
generated17.tsp;1117;46;6-16-13-7-14-15-3-0-12-2-9-4-11-8-1-10-5-6
generated18.tsp;856;47;0-13-2-17-5-10-7-9-4-1-3-11-12-6-15-8-14-16-0
generated19.tsp;1681;32;4-0-8-13-5-16-11-12-2-6-1-10-9-3-15-14-17-7-18-4
generated20.tsp;1014;33;7-17-13-2-1-4-18-5-3-8-0-6-16-11-19-10-15-14-12-9-7
generated21.tsp;1020;40;5-3-19-6-11-13-16-0-4-17-9-15-1-14-2-8-10-18-20-12-7-5
generated22.tsp;1166;86;7-15-17-20-8-11-3-18-13-14-1-10-16-4-5-2-19-21-12-0-6-9-7
generated23.tsp;1282;99;10-18-14-16-1-22-7-11-4-3-6-8-2-12-20-19-17-5-0-9-21-15-13-10
generated24.tsp;1316;76;9-13-2-19-4-12-15-23-18-21-5-0-16-11-14-17-3-8-10-1-22-7-6-20-9
generated25.tsp;980;56;7-23-13-12-17-4-11-2-16-14-9-22-18-21-19-20-8-24-1-15-5-3-0-6-10-7
generated26.tsp;951;99;9-19-7-10-8-1-18-16-11-25-3-17-0-12-13-2-5-4-21-14-20-15-6-24-22-23-9
