generated3.tsp;549;0;0-2-1-0;549;0;0-2-1-0;549;0;
generated4.tsp;1178;0;1-0-3-2-1;1178;0;1-0-3-2-1;1178;0;
generated5.tsp;1163;0;0-1-2-4-3-0;1163;0;0-1-2-4-3-0;1163;0;
generated6.tsp;1195;0;2-0-4-5-1-3-2;1195;0;2-0-4-5-1-3-2;1195;0;
generated7.tsp;809;0;0-1-2-4-5-3-6-0;809;0;0-1-2-4-5-3-6-0;809;0;
generated8.tsp;1411;0;0-4-7-5-1-6-3-2-0;1396;1;7-3-6-2-4-0-1-5-7;1403;0;
generated9.tsp;983;1;0-4-3-7-6-1-8-2-5-0;979;1;8-3-7-4-0-5-1-6-2-8;980;1;
generated10.tsp;699;1;2-0-5-7-8-1-6-4-3-9-2;666;2;6-5-0-4-3-9-2-7-8-1-6;692;1;
generated11.tsp;1280;2;0-6-9-1-5-2-8-3-7-4-10-0;1091;6;2-6-9-5-1-7-4-10-0-3-8-2;1166;3;
generated12.tsp;722;2;0-11-1-9-4-3-2-8-6-5-10-7-0;722;2;0-11-1-9-4-3-2-8-6-5-10-7-0;722;2;
generated13.tsp;1024;2;0-6-9-1-5-8-4-2-3-10-7-11-12-0;931;6;7-10-11-12-2-3-9-6-0-4-8-1-5-7;1006;3;
generated14.tsp;770;2;10-0-3-7-2-11-8-1-9-12-6-13-5-4-10;633;5;12-9-4-10-1-8-11-0-3-7-2-5-13-6-12;763;3;
generated15.tsp;1053;3;0-9-13-2-3-5-10-6-11-1-4-8-7-12-14-0;813;10;3-10-6-11-1-4-8-7-12-2-13-9-0-14-5-3;1034;4;
generated16.tsp;902;4;15-0-12-6-9-2-4-5-8-3-1-7-11-14-13-10-15;689;7;6-9-12-10-13-14-3-8-1-7-11-2-15-0-5-4-6;878;5;
generated17.tsp;1337;5;0-3-15-14-16-6-2-12-10-5-7-13-11-8-1-9-4-0;1142;8;9-14-15-3-0-12-2-7-13-16-6-5-10-1-8-11-4-9;1318;5;
generated18.tsp;1129;5;12-0-13-2-17-5-10-7-9-3-1-4-16-14-8-15-6-11-12;965;9;8-14-13-0-16-1-4-17-2-10-5-6-12-11-7-9-3-15-8;1116;5;
generated19.tsp;2005;6;0-4-8-11-16-18-5-13-1-10-9-12-2-6-7-17-14-15-3-0;1742;10;8-11-16-10-9-14-17-7-0-4-12-2-6-1-3-15-18-5-13-8;1964;8;
generated20.tsp;1153;7;0-6-1-2-12-14-15-10-19-11-16-4-18-5-3-8-7-9-17-13-0;1076;12;13-2-3-8-0-4-1-6-16-11-19-5-18-15-10-14-12-9-7-17-13;1152;7;
generated21.tsp;1167;8;0-10-8-2-6-16-11-13-7-12-20-18-17-9-15-1-14-19-3-5-4-0;989;14;10-8-2-14-19-3-5-7-12-20-13-11-16-6-17-18-1-15-4-0-9-10;1162;8;
generated22.tsp;1440;10;0-18-3-15-7-9-14-13-6-19-2-5-21-12-17-20-8-11-4-16-10-1-0;1140;15;16-15-3-11-8-20-4-17-14-2-5-9-6-19-21-13-18-0-12-7-1-10-16;1390;12;
generated23.tsp;1482;10;17-2-16-1-22-0-5-15-19-20-12-8-4-11-7-3-14-6-21-9-18-13-10-17;1335;18;11-7-10-13-15-12-20-19-21-4-3-6-14-18-9-0-5-17-8-22-1-16-2-11;1475;10;
generated24.tsp;1402;10;9-16-0-11-14-17-3-8-10-13-2-19-4-12-15-23-18-21-5-1-22-7-6-20-9;1349;17;2-20-6-18-21-5-7-17-14-8-10-9-13-3-0-11-16-23-22-1-19-4-12-15-2;1401;10;
generated25.tsp;1297;11;0-6-10-3-5-14-13-23-7-24-8-20-19-21-18-22-9-12-17-4-11-2-16-15-1-0;979;20;14-9-12-13-23-7-24-11-4-17-1-21-19-20-2-16-8-3-0-6-10-22-18-15-5-14;1287;12;
generated26.tsp;995;13;17-0-23-22-1-8-10-7-19-9-12-13-2-5-4-21-14-20-15-6-24-3-25-11-16-18-17;995;12;17-0-23-22-1-8-10-7-19-9-12-13-2-5-4-21-14-20-15-6-24-3-25-11-16-18-17;995;13;
