setting1.txtsolved.csv;33;10-6-4-7-2-3-1-5-8-9-0
setting1.txtsolved.csv;42;60-9-4-5-10-11-8-3-1-6-2-7-0
setting1.txtsolved.csv;45;910-1-14-5-2-7-6-8-13-10-4-11-12-3-9-0
setting1.txtsolved.csv;37;5090-11-1-14-2-13-12-8-6-3-10-15-4-7-9-5-16-0
setting1.txtsolved.csv;53;65360-17-12-11-7-2-15-4-13-19-9-6-14-5-8-18-3-10-1-16-0
setting1.txtsolved.csv;39;148140-20-3-7-8-13-18-15-11-12-14-9-4-1-16-19-6-17-5-2-10-0
setting1.txtsolved.csv;43;335900-7-14-9-12-21-19-20-5-1-3-13-11-4-10-15-18-16-8-6-2-17-0
setting1.txtsolved.csv;47;10-1-9-8-3-7-6-4-2-5-0
setting1.txtsolved.csv;52;60-1-9-11-2-10-5-3-8-7-6-4-0
setting1.txtsolved.csv;49;900-7-11-5-10-8-3-4-13-2-14-9-6-1-12-0
setting1.txtsolved.csv;47;5000-2-1-6-8-3-7-14-16-11-15-4-12-13-9-10-5-0
setting1.txtsolved.csv;37;65040-3-5-6-17-7-16-12-1-18-14-2-15-8-13-11-10-9-19-4-0
setting1.txtsolved.csv;56;148090-8-16-2-12-11-7-4-6-3-20-19-9-14-18-5-1-17-13-15-10-0
setting1.txtsolved.csv;41;334390-7-2-11-4-15-1-9-12-14-6-16-5-3-19-10-21-17-8-18-13-20-0
setting1.txtsolved.csv;29;380-1-2-3-13-11-4-5-6-12-7-8-9-10-0
setting1.txtsolved.csv;70;2090-2-1-3-7-11-12-5-6-9-8-10-4-14-13-15-0
