generated3.tsp;549;0;0-1-2-0
generated4.tsp;1178;0;0-1-2-3-0
generated5.tsp;1163;0;0-1-2-4-3-0
generated6.tsp;1195;0;0-2-3-1-5-4-0
generated7.tsp;809;0;0-1-2-4-5-3-6-0
generated8.tsp;1396;0;0-1-5-7-3-6-2-4-0
generated9.tsp;979;0;0-4-7-3-8-2-6-1-5-0
generated10.tsp;666;0;0-4-3-9-2-7-8-1-6-5-0
generated11.tsp;1091;2;0-3-8-2-6-9-5-1-7-4-10-0
generated12.tsp;722;5;0-7-10-5-6-8-2-3-4-9-1-11-0
generated13.tsp;931;13;0-4-8-1-5-7-10-11-12-2-3-9-6-0
generated14.tsp;633;32;0-3-7-2-5-13-6-12-9-4-10-1-8-11-0
generated15.tsp;813;75;0-9-13-2-12-7-8-4-1-11-6-10-3-5-14-0
generated16.tsp;670;176;0-12-9-6-4-5-8-3-14-13-10-1-7-11-2-15-0
generated17.tsp;1117;424;0-3-15-14-7-13-16-6-5-10-1-8-11-4-9-2-12-0
generated18.tsp;856;1050;0-13-2-17-5-10-7-9-4-1-3-11-12-6-15-8-14-16-0
generated19.tsp;1629;2495;0-4-8-13-5-18-7-17-14-15-16-11-12-2-6-1-3-9-10-0
generated20.tsp;952;5763;0-8-3-2-13-17-7-9-12-14-15-6-1-4-18-5-19-10-16-11-0
generated21.tsp;916;13223;0-4-17-9-15-1-18-10-8-2-14-19-3-5-7-12-20-13-11-6-16-0
generated22.tsp;969;29919;0-12-21-19-6-9-7-15-5-2-3-11-8-20-17-4-16-10-1-14-13-18-0
generated23.tsp;1040;66899;0-5-17-10-13-15-21-19-20-12-2-16-1-22-3-7-11-4-8-6-14-18-9-0
generated24.tsp;1099;149292;0-5-21-18-23-22-1-19-4-13-12-15-8-10-9-20-2-3-17-14-11-16-6-7-0
generated25.tsp;904;336741;0-3-5-14-16-2-11-4-17-1-15-18-21-19-20-8-24-7-23-13-12-9-22-10-6-0
