atsp10;877;106;0-2-6-3-8-1-4-9-7-5-0
tsp10;1102;106;0-2-6-7-5-1-9-3-8-4-0
atsp11;1014;1268;0-2-3-9-10-6-1-5-4-8-7-0
tsp11;950;1269;0-2-6-5-9-1-4-3-8-7-10-0
atsp12;976;17953;0-11-8-7-2-6-3-9-5-10-4-1-0
tsp12;1348;17879;0-3-7-4-10-6-2-11-5-1-8-9-0
